region,year,annual_loss_mha,cumulative_loss_mha
Africa,1970,0.50,0.50
Africa,1971,0.61,1.11
Africa,1972,0.72,1.83
Africa,1973,0.83,2.66
Africa,1974,0.94,3.60
Africa,1975,1.05,4.65
Africa,1976,1.16,5.81
Africa,1977,1.27,7.08
Africa,1978,1.38,8.46
Africa,1979,1.49,9.95
Africa,1980,1.60,11.55
Africa,1981,1.71,13.26
Africa,1982,1.82,15.08
Africa,1983,1.93,17.01
Africa,1984,2.04,19.05
Africa,1985,2.15,21.20
Africa,1986,2.26,23.46
Africa,1987,2.37,25.83
Africa,1988,2.48,28.31
Africa,1989,2.59,30.90
Africa,1990,2.70,33.60
Africa,1991,2.81,36.41
Africa,1992,2.92,39.33
Africa,1993,3.03,42.36
Africa,1994,3.14,45.50
Africa,1995,3.25,48.75
Africa,1996,3.36,52.11
Africa,1997,3.47,55.58
Africa,1998,3.58,59.16
Africa,1999,3.69,62.85
Africa,2000,3.80,66.65
Africa,2001,3.91,70.56
Africa,2002,4.02,74.58
Africa,2003,4.13,78.71
Africa,2004,4.24,82.95
Africa,2005,4.35,87.30
Africa,2006,4.46,91.76
Africa,2007,4.57,96.33
Africa,2008,4.68,101.01
Africa,2009,4.79,105.80
Africa,2010,4.90,110.70
Africa,2011,5.01,115.71
Africa,2012,5.12,120.83
Africa,2013,5.23,126.06
Africa,2014,5.34,131.40
Africa,2015,5.45,136.85
Africa,2016,5.56,142.41
Africa,2017,5.67,148.08
Africa,2018,5.78,153.86
Africa,2019,5.89,159.75
Africa,2020,6.00,165.75
Asia,1970,1.00,1.00
Asia,1971,1.03,2.03
Asia,1972,1.06,3.09
Asia,1973,1.09,4.18
Asia,1974,1.12,5.30
Asia,1975,1.15,6.45
Asia,1976,1.18,7.63
Asia,1977,1.21,8.84
Asia,1978,1.24,10.08
Asia,1979,1.27,11.35
Asia,1980,1.30,12.65
Asia,1981,1.33,13.98
Asia,1982,1.36,15.34
Asia,1983,1.39,16.73
Asia,1984,1.42,18.15
Asia,1985,1.45,19.60
Asia,1986,1.48,21.08
Asia,1987,1.51,22.59
Asia,1988,1.54,24.13
Asia,1989,1.57,25.70
Asia,1990,1.60,27.30
Asia,1991,1.63,28.93
Asia,1992,1.66,30.59
Asia,1993,1.69,32.28
Asia,1994,1.72,33.99
Asia,1995,1.75,35.74
Asia,1996,1.78,37.52
Asia,1997,1.81,39.33
Asia,1998,1.84,41.17
Asia,1999,1.87,43.04
Asia,2000,1.90,44.94
Asia,2001,1.93,46.87
Asia,2002,1.96,48.83
Asia,2003,1.99,50.82
Asia,2004,2.02,52.84
Asia,2005,2.05,54.89
Asia,2006,2.08,56.97
Asia,2007,2.11,59.08
Asia,2008,2.14,61.22
Asia,2009,2.17,63.39
Asia,2010,2.20,65.59
Asia,2011,2.23,67.82
Asia,2012,2.26,70.08
Asia,2013,2.29,72.37
Asia,2014,2.32,74.69
Asia,2015,2.35,77.04
Asia,2016,2.38,79.42
Asia,2017,2.41,81.83
Asia,2018,2.44,84.27
Asia,2019,2.47,86.74
Asia,2020,2.50,89.25
Europe,1970,0.10,0.10
Europe,1971,0.10,0.20
Europe,1972,0.10,0.30
Europe,1973,0.10,0.40
Europe,1974,0.10,0.50
Europe,1975,0.10,0.60
Europe,1976,0.10,0.70
Europe,1977,0.10,0.80
Europe,1978,0.10,0.90
Europe,1979,0.10,1.00
Europe,1980,0.10,1.10
Europe,1981,0.10,1.20
Europe,1982,0.10,1.30
Europe,1983,0.10,1.40
Europe,1984,0.10,1.50
Europe,1985,0.10,1.60
Europe,1986,0.10,1.70
Europe,1987,0.10,1.80
Europe,1988,0.10,1.90
Europe,1989,0.10,2.00
Europe,1990,0.10,2.10
Europe,1991,0.10,2.20
Europe,1992,0.10,2.30
Europe,1993,0.10,2.40
Europe,1994,0.10,2.50
Europe,1995,0.10,2.60
Europe,1996,0.10,2.70
Europe,1997,0.10,2.80
Europe,1998,0.10,2.90
Europe,1999,0.10,3.00
Europe,2000,0.10,3.10
Europe,2001,0.10,3.20
Europe,2002,0.10,3.30
Europe,2003,0.10,3.40
Europe,2004,0.10,3.50
Europe,2005,0.10,3.60
